LCSH,NULA,Source
Sexual minority teachers,LGBTQ+ teachers,Modeled on Homosaurus
Sexual minority women,LGBTQ+ women,Modeled on Homosaurus
Sexual minority veterans,LGBTQ+ veterans, Homosaurus
Sexual minority youth,LGBTQ+ youth,Homosaurus
Sexual minority youth in mass media,LGBTQ+ youth in mass media,Modeled on Homosaurus
Sexual minority youth with disabilities,LGBTQ+ disabled youth,Modeled on Homosaurus
Social work with older sexual minorities,Social work with older LGBTQ+ people,Modeled on Homosaurus
Social work with sexual minorities,Social work with LGBTQ+ people,Modeled on Homosaurus
Social work with sexual minority youth,Social work with LGBTQ+ youth,Modeled on Homosaurus
Unitarian Universalist sexual minorities,LGBTQ+ Unitarians,Modeled on Homosaurus
Web sites for sexual minorities,LGBTQ+ websites,Homosaurus
Palestinian Arabs,Palestinians,Local

